AREA,ACCESS_STATUS,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:e1,e8:6d:e9:0f:d5:e2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,e8:6d:e9:0f:d5:e0,e8:6d:e9:0f:d8:30,e8:6d:e9:0f:d8:31,e8:6d:e9:0f:d8:20,98:48:74:29:7c:94,e8:6d:e9:0f:d8:32,e8:6d:e9:0f:d8:21
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-70,-71,-68,-46,-69,-70
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-70,-71,-120,-54,-69,-70
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-80,-60,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-120,-66,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-120,-72,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-120,-74,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-120,-68,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-78,-120,-120,-120,-120,-120,-120,-120,-120,-60,-120,-80
PERMITTED_AREA,ACCESS_PERMITTED,-78,-120,-120,-120,-120,-120,-120,-120,-120,-60,-120,-80
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-120,-68,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-74,-120,-120,-74,-75,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-120,-74,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,ACCESS_PERMITTED,-74,-78,-120,-73,-74,-78,-120,-120,-120,,-120,-120
